team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,SoTA,Saves,Save%,CS,PKA,PKsv,PKm,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,xG.x,xGA,FK,xG.y,npxG,npxG/Sh,G-xG,np:G-xG,PSxG,PSxG+/-,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Recov,Won,Lost,Won%
Argentina,2015-06-26,20:30,Copa América,Quarter-finals,Fri,Neutral,D,0 (5),0 (4),co Colombia,62,"21,508",Lionel Messi,,Roberto García,Match Report,Argentina won on penalty kicks following extra time,0,"","","","","","",0,1,"",100.0,1,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-06-30,20:30,Copa América,Semi-finals,Tue,Neutral,W,6,1,py Paraguay,56,"29,205",Lionel Messi,,Sandro Ricci,Match Report,"",6,"","","","","","",0,3,"",66.7,0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-07-04,17:00,Copa América,Final,Sat,Neutral,D,0 (1),0 (4),cl Chile,48,"45,693",Lionel Messi,,Wilmar Roldán,Match Report,Chile won on penalty kicks following extra time,0,"","","","","","",0,4,"",100.0,1,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-09-04,19:30,Friendlies (M),Friendlies (M),Fri,Home,W,7,0,bo Bolivia,,"22,000","",,César Arturo Ramos,Match Report,"",7,"","","","","","",0,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-09-08,21:00,Friendlies (M),Friendlies (M),Tue,Home,D,2,2,mx Mexico,,"","",,Ricardo Salazar,Match Report,"",2,"","","","","","",0,"","","",0,1,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-10-08,21:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,L,0,2,ec Ecuador,,"","",,Julio Bascuñán,Match Report,"",0,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-10-13,21:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,0,0,py Paraguay,,"","",,Andrés Cunha,Match Report,"",0,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-11-13,21:00,WCQ,WCQ — CONMEBOL (M),Fri,Home,D,1,1,br Brazil,,"","",,Antonio Arias,Match Report,"",1,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-11-17,15:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,1,0,co Colombia,,"","",,Carlos Vera,Match Report,"",1,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-03-24,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,W,2,1,cl Chile,,"","","",Heber Roberto Lopes,Match Report,"",2,"","","","","","",0,"","","",0,0,0,0,4,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-03-29,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,2,0,bo Bolivia,,"","","",Jesús Valenzuela,Match Report,"",2,"","","","","","",1,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-05-27,20:00,Friendlies (M),Friendlies (M),Fri,Home,W,1,0,hn Honduras,,"18,000","","",Jorge Osorio,Match Report,"",1,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-06-06,19:00,Copa América Centenario,Group stage,Mon,Home,W,2,1,cl Chile,42,"69,451",Javier Mascherano,4-1-4-1,Daniel Fedorczuk,Match Report,"",2,17,5,29.4,0.12,0.40,"",0,6,5,83.3,0,0,0,0,2,0,0,15,15,0,19,20,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-06-10,20:30,Copa América Centenario,Group stage,Fri,Home,W,5,0,pa Panama,72,"53,885",Javier Mascherano,4-2-3-1,Joel Aguilar,Match Report,"",5,12,8,66.7,0.42,0.63,"",0,3,3,100.0,1,0,0,0,3,0,0,17,15,4,24,8,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-06-14,19:00,Copa América Centenario,Group stage,Tue,Home,W,3,0,bo Bolivia,86,"45,753",Sergio Romero,4-3-3,Víctor Carrillo,Match Report,"",3,14,6,42.9,0.21,0.50,"",0,1,1,100.0,1,0,0,0,2,0,0,11,15,4,12,5,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-06-18,19:00,Copa América Centenario,Quarter-finals,Sat,Home,W,4,1,ve Venezuela,63,"59,183",Lionel Messi,4-3-3,Roberto García,Match Report,"",4,11,6,54.5,0.36,0.67,"",0,2,2,50.0,0,0,1,0,1,0,0,10,19,2,12,5,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-06-21,20:00,Copa América Centenario,Semi-finals,Tue,Away,W,4,0,us United States,68,"70,858",Lionel Messi,4-3-3,Enrique Cáceres,Match Report,"",4,11,7,63.6,0.36,0.57,"",0,0,0,"",1,0,0,0,0,0,0,10,12,9,12,14,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-06-26,20:00,Copa América Centenario,Final,Sun,Home,D,0 (2),0 (4),cl Chile,46,"82,026",Lionel Messi,4-3-3,Heber Roberto Lopes,Match Report,Chile won on penalty kicks following extra time,0,18,3,16.7,0.00,0.00,"",0,2,2,100.0,1,0,0,0,3,1,0,14,22,0,22,19,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-09-01,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,uy Uruguay,,"","","",Julio Bascuñán,Match Report,"",1,"","","","","","",0,"","","",1,0,0,0,3,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-09-06,19:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,2,2,ve Venezuela,,"","","",Roddy Zambrano,Match Report,"",2,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-10-06,21:15,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,2,2,pe Peru,,"50,000","","",Sandro Ricci,Match Report,"",2,"","","","","","",0,"","","",0,1,0,0,4,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-10-11,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,0,1,py Paraguay,,"","","",Daniel Fedorczuk,Match Report,"",0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-11-10,21:45,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,0,3,br Brazil,,"","","",Julio Bascuñán,Match Report,"",0,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2016-11-15,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,3,0,co Colombia,,"","","",Roddy Zambrano,Match Report,"",3,"","","","","","",0,"","","",1,0,0,0,4,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-03-23,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,cl Chile,,"","","",Sandro Ricci,Match Report,,1,"","","","","","",1,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-03-28,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,0,2,bo Bolivia,,"","","",Wilmar Roldán,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-06-13,20:00,Friendlies (M),Friendlies (M),Tue,Away,W,6,0,sg Singapore,,"28,000",Lucas Biglia,2-3-4-1,Hiroyuki Kimura,Match Report,,6,"","","","","","",0,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-08-31,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,0,0,uy Uruguay,,"","","",Víctor Carrillo,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-09-05,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,D,1,1,ve Venezuela,,"","","",Roberto Tobar,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-10-05,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,0,0,pe Peru,,"","","",Wilton Sampaio,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-10-10,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,3,1,ec Ecuador,,"","","",Anderson Daronco,Match Report,,3,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-11-11,16:00,Friendlies (M),Friendlies (M),Sat,Away,W,1,0,ru Russia,,"",Lionel Messi,3-1-2-1-2-1,Damir Skomina,Match Report,,1,"","","","","","",0,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2017-11-14,19:30,Friendlies (M),Friendlies (M),Tue,Home,L,2,4,ng Nigeria,,"",Javier Mascherano,3-2-3-2,Vladislav Bezborodov,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2015-10-08,21:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,L,0,2,ec Ecuador,,"","","",Julio Bascuñán,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2015-10-13,21:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,0,0,py Paraguay,,"","","",Andrés Cunha,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2015-11-13,21:00,WCQ,WCQ — CONMEBOL (M),Fri,Home,D,1,1,br Brazil,,"","","",Antonio Arias,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2015-11-17,15:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,1,0,co Colombia,,"","","",Carlos Vera,Match Report,,1,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-03-24,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,W,2,1,cl Chile,,"","","",Heber Roberto Lopes,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,4,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-03-29,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,2,0,bo Bolivia,,"","","",Jesús Valenzuela,Match Report,,2,"","","","","","",1,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-09-01,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,uy Uruguay,,"","","",Julio Bascuñán,Match Report,,1,"","","","","","",0,"","","",1,0,0,0,3,1,1,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-09-06,19:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,2,2,ve Venezuela,,"","","",Roddy Zambrano,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-10-06,21:15,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,2,2,pe Peru,,"50,000","","",Sandro Ricci,Match Report,,2,"","","","","","",0,"","","",0,1,0,0,4,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-10-11,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,0,1,py Paraguay,,"","","",Daniel Fedorczuk,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-11-10,21:45,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,0,3,br Brazil,,"","","",Julio Bascuñán,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2016-11-15,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,3,0,co Colombia,,"","","",Roddy Zambrano,Match Report,,3,"","","","","","",0,"","","",1,0,0,0,4,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2017-03-23,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,cl Chile,,"","","",Sandro Ricci,Match Report,,1,"","","","","","",1,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2017-03-28,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,0,2,bo Bolivia,,"","","",Wilmar Roldán,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2017-08-31,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,0,0,uy Uruguay,,"","","",Víctor Carrillo,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2017-09-05,20:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,D,1,1,ve Venezuela,,"","","",Roberto Tobar,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2017-10-05,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,0,0,pe Peru,,"","","",Wilton Sampaio,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2017-10-10,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,3,1,ec Ecuador,,"","","",Anderson Daronco,Match Report,,3,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-03-23,19:45,Friendlies (M),Friendlies (M),Fri,Home,W,2,0,it Italy,,"",Nicolás Otamendi,4-2-3-1,Martin Atkinson,Match Report,,2,"","","","","","",0,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-03-27,21:30,Friendlies (M),Friendlies (M),Tue,Away,L,1,6,es Spain,,"65,541",Javier Mascherano,4-2-3-1,Anthony Taylor,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,4,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-05-29,20:00,Friendlies (M),Friendlies (M),Tue,Home,W,4,0,ht Haiti,,"40,000",Lionel Messi,4-3-3,Arnaldo Samaniego,Match Report,,4,"","","","","","",1,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-06-16,16:00,FIFA World Cup,Group stage,Sat,Neutral,D,1,1,is Iceland,78,"44,190",Lionel Messi,4-5-1,Szymon Marciniak,Match Report,,1,27,6,22.2,0.04,0.17,20.9,0,2,1,50.0,0,0,0,0,0,0,0,11,17,0,17,3,7,1,0,0,1.8,0.9,3,1.8,1.0,0.04,-0.8,0.0,0.6,-0.4,1,2,50.0,5,6.3,22.0,5,0,0.0,2,20.8,118,15,10,60.0
Argentina,2018-06-21,21:00,FIFA World Cup,Group stage,Thu,Neutral,L,0,3,hr Croatia,58,"43,319",Lionel Messi,3-4-3,Ravshan Irmatov,Match Report,,0,10,3,30.0,0.00,0.00,14.3,0,5,2,40.0,0,0,0,0,3,0,0,20,22,3,15,11,9,0,0,0,1,1.6,0,1.0,1.0,0.11,-1.0,-1.0,1.6,-1.4,3,20,15.0,2,59.4,40.2,6,0,0.0,1,14.0,94,7,13,35.0
Argentina,2018-06-26,21:00,FIFA World Cup,Group stage,Tue,Neutral,W,2,1,ng Nigeria,65,"64,468",Lionel Messi,4-4-2,Cüneyt Çakιr,Match Report,,2,8,3,37.5,0.25,0.67,14.7,0,2,2,100.0,0,1,0,0,3,0,0,17,19,2,10,13,9,0,1,0,0.9,1.2,1,0.9,0.9,0.12,+1.1,+1.1,1.0,0.0,5,14,35.7,1,61.1,46.2,5,0,0.0,2,15.7,95,10,7,58.8
Argentina,2018-06-30,17:00,FIFA World Cup,Round of 16,Sat,Neutral,L,3,4,fr France,60,"42,873",Lionel Messi,4-3-3,Alireza Faghani,Match Report,,3,12,4,33.3,0.25,0.75,16.8,0,3,0,0.0,0,1,0,0,5,0,0,14,23,1,14,7,13,0,1,0,1.1,1.7,1,1.1,1.1,0.09,+1.9,+1.9,1.7,-2.3,2,6,33.3,1,29.4,29.4,3,0,0.0,1,17.0,70,8,6,57.1
Argentina,2018-09-07,19:45,Friendlies (M),Friendlies (M),Fri,Home,W,3,0,gt Guatemala,,"22,000",Nicolás Tagliafico,4-3-3,Héctor Rodríguez,Match Report,,3,"","","","","","",1,"","","",1,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-09-11,20:00,Friendlies (M),Friendlies (M),Tue,Away,D,0,0,co Colombia,,"35,624",Nicolás Tagliafico,4-3-3,Ismail Elfath,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-10-11,21:00,Friendlies (M),Friendlies (M),Thu,Away,W,4,0,iq Iraq,,"18,517",Sergio Romero,4-3-1-2,Jarred Gillett,Match Report,,4,"","","","","","",0,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-11-16,21:00,Friendlies (M),Friendlies (M),Fri,Home,W,2,0,mx Mexico,,"",Nicolás Tagliafico,3-4-3,Esteban Ostojich,Match Report,,1,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2018-11-20,21:00,Friendlies (M),Friendlies (M),Tue,Home,W,2,0,mx Mexico,,"",Ramiro Funes Mori,4-3-3,Nicolás Gallo,Match Report,,2,"","","","","","",0,"","","",2,0,0,0,3,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2019-03-22,21:00,Friendlies (M),Friendlies (M),Fri,Home,L,1,3,ve Venezuela,,"20,000",Lionel Messi,3-4-3,José Sánchez,Match Report,,1,"","","","","","",0,"","","",0,1,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-03-26,20:00,Friendlies (M),Friendlies (M),Tue,Away,W,1,0,ma Morocco,,"35,000",Germán Pezzella,4-2-2-2,Janny Sikazwe,Match Report,,1,"","","","","","",0,"","","",2,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-06-07,21:10,Friendlies (M),Friendlies (M),Fri,Home,W,5,1,ni Nicaragua,,"28,000","",4-3-3,Eduardo Gamboa,Match Report,,5,"","","","","","",0,"","","",0,1,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-06-15,19:00,Copa América,Group stage,Sat,Neutral,L,0,2,co Colombia,53,"",Lionel Messi,4-4-2,Roberto Tobar,Match Report,,0,13,6,46.2,0.00,0.00,"",0,2,0,0.0,0,0,0,0,3,0,0,13,17,1,12,13,13,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-06-19,21:30,Copa América,Group stage,Wed,Neutral,D,1,1,py Paraguay,55,"",Lionel Messi,4-4-2,Wilton Sampaio,Match Report,,1,7,2,28.6,0.00,0.00,"",1,1,1,0.0,0,0,1,0,3,0,0,20,17,1,10,7,8,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-06-23,16:00,Copa América,Group stage,Sun,Neutral,W,2,0,qa Qatar,54,"",Lionel Messi,4-3-3,Julio Bascuñán,Match Report,,2,19,8,42.1,0.11,0.25,"",0,1,1,100.0,1,0,0,0,2,0,0,17,15,0,11,13,11,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-06-28,16:00,Copa América,Quarter-finals,Fri,Neutral,W,2,0,ve Venezuela,41,"50,094",Lionel Messi,4-4-2◆,Wilmar Roldán,Match Report,,2,17,7,41.2,0.12,0.29,"",0,1,1,100.0,1,0,0,0,2,0,0,15,16,1,16,6,18,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-07-02,21:30,Copa América,Semi-finals,Tue,Neutral,L,0,2,br Brazil,50,"",Lionel Messi,4-4-2◆,Roddy Zambrano,Match Report,,0,14,2,14.3,0.00,0.00,"",0,3,1,33.3,0,0,0,0,5,0,0,20,10,0,13,8,14,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-07-06,16:00,Copa América,Third-place match,Sat,Neutral,W,2,1,cl Chile,39,"",Lionel Messi,4-3-3,Mario Díaz de Vivar,Match Report,,2,15,6,40.0,0.13,0.33,"",0,2,2,100.0,0,1,0,0,4,1,0,21,18,1,8,15,13,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-09-05,19:30,Friendlies (M),Friendlies (M),Thu,Neutral,D,0,0,cl Chile,,"",Nicolás Otamendi,4-1-4-1,Jair Marrufo,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,6,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-09-10,21:00,Friendlies (M),Friendlies (M),Tue,Home,W,4,0,mx Mexico,,"",Nicolás Tagliafico,4-1-4-1,Héctor Martínez,Match Report,,4,"","","","","","",1,"","","",1,0,0,0,4,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-10-09,20:45,Friendlies (M),Friendlies (M),Wed,Away,D,2,2,de Germany,,"45,197",Nicolás Otamendi,4-3-1-2,Clément Turpin,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-10-13,16:00,Friendlies (M),Friendlies (M),Sun,Home,W,6,1,ec Ecuador,,"",Germán Pezzella,4-2-2-2,Luca Barbeno,Match Report,,5,"","","","","","",1,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-11-15,20:00,Friendlies (M),Friendlies (M),Fri,Away,W,1,0,br Brazil,,"22,541",Lionel Messi,4-4-2◆,Matt Conger,Match Report,,1,"","","","","","",0,"","","",1,0,0,1,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019-11-18,21:15,Friendlies (M),Friendlies (M),Mon,Home,D,2,2,uy Uruguay,,"29,000",Lionel Messi,4-3-3,Roi Reinshreiber,Match Report,,2,"","","","","","",1,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2021-06-03,21:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,1,1,cl Chile,54,"",Lionel Messi,4-2-2-2,Jesús Valenzuela,Match Report,"",1,16,7,43.8,0.00,0.00,"",1,1,0,0.0,0,0,0,0,2,0,0,17,14,1,10,12,11,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2021-06-08,18:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,2,2,co Colombia,52,"",Lionel Messi,4-3-3,Roberto Tobar,Match Report,"",2,15,8,53.3,0.13,0.25,"",0,4,3,75.0,0,1,0,0,4,0,0,18,24,0,14,5,9,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Argentina,2021-06-14,18:00,Copa América,Group stage,Mon,Neutral,D,1,1,cl Chile,48,"",Lionel Messi,4-3-3,Wilmar Roldán,Match Report,"",1,17,4,23.5,0.06,0.25,16.2,0,3,2,66.7,0,0,1,0,2,0,0,15,18,2,14,12,6,0,1,0,2.4,1.2,1,2.4,2.4,0.14,-1.4,-1.4,1.0,0.0,1,7,14.3,5,35.7,38.7,3,0,0.0,0,13.8,60,18,11,62.1
Argentina,2021-06-18,21:00,Copa América,Group stage,Fri,Neutral,W,1,0,uy Uruguay,46,"",Lionel Messi,4-3-3,Wilton Pereira Sampaio,Match Report,"",1,11,6,54.5,0.09,0.17,16.5,0,0,0,"",1,0,0,0,3,0,0,12,22,1,7,11,11,0,0,0,1.1,0.1,1,1.1,1.1,0.10,-0.1,-0.1,0.0,0.0,6,21,28.6,5,48.3,42.8,11,2,18.2,0,9.1,87,14,8,63.6
Argentina,2021-06-21,21:00,Copa América,Group stage,Mon,Neutral,W,1,0,py Paraguay,43,"",Lionel Messi,4-2-3-1,Jesús Valenzuela,Match Report,"",1,9,4,44.4,0.11,0.25,20.2,0,1,1,100.0,1,0,0,0,1,0,0,12,23,1,2,16,13,0,0,0,1,0.5,2,1.0,1.0,0.11,0.0,0.0,0.0,0.0,7,12,58.3,5,40.9,37.5,5,1,20.0,1,13.3,65,8,11,42.1
Argentina,2021-06-28,20:00,Copa América,Group stage,Mon,Neutral,W,4,1,bo Bolivia,68,"",Lionel Messi,4-2-3-1,Andrés Rojas,Match Report,"",4,17,12,70.6,0.18,0.25,13.6,1,2,1,50.0,0,0,0,0,1,0,0,8,21,3,14,18,10,1,0,0,4.3,0.3,0,4.3,3.5,0.23,-0.3,-0.5,0.8,-0.2,3,8,37.5,2,36.4,33.5,4,0,0.0,0,8.7,73,7,6,53.8
