usuario,puntos,modo,rank
LosVillacian,8,Extra,93
LosVillacian,0,Mundial ideal,3.5
LosVillacian,22,Quiniela,4.5
LosVillacian,30,Total,170
Luisa%20Stavenhagen,8,Extra,93
Luisa%20Stavenhagen,105,Mundial ideal,133.5
Luisa%20Stavenhagen,47,Quiniela,122
Luisa%20Stavenhagen,160,Total,39.5
MAMBITO,8,Extra,93
MAMBITO,110,Mundial ideal,147
MAMBITO,55,Quiniela,156.5
MAMBITO,173,Total,21.5
Manedecorazon,8,Extra,93
Manedecorazon,78,Mundial ideal,39
Manedecorazon,43,Quiniela,88
Manedecorazon,129,Total,118.5
manedemente,16,Extra,155.5
manedemente,83,Mundial ideal,58.5
manedemente,38,Quiniela,44.5
manedemente,137,Total,102
Manelick,8,Extra,93
Manelick,26,Mundial ideal,9
Manelick,0,Quiniela,1.5
Manelick,34,Total,169
ManoloDSP,4,Extra,44
ManoloDSP,92,Mundial ideal,89.5
ManoloDSP,50,Quiniela,140.5
ManoloDSP,146,Total,73
mariavig,12,Extra,133
mariavig,90,Mundial ideal,83
mariavig,41,Quiniela,65
mariavig,143,Total,81
marver,4,Extra,44
marver,90,Mundial ideal,83
marver,42,Quiniela,75.5
marver,136,Total,104.5
mauricio_gv@yahoo.com,20,Extra,166.5
mauricio_gv@yahoo.com,74,Mundial ideal,32.5
mauricio_gv@yahoo.com,42,Quiniela,75.5
mauricio_gv@yahoo.com,136,Total,104.5
Mauro%20Argentina,8,Extra,93
Mauro%20Argentina,123,Mundial ideal,166.5
Mauro%20Argentina,45,Quiniela,106.5
Mauro%20Argentina,176,Total,16
Merigo,12,Extra,133
Merigo,79,Mundial ideal,43.5
Merigo,39,Quiniela,51
Merigo,130,Total,117
Mic,16,Extra,155.5
Mic,119,Mundial ideal,163.5
Mic,42,Quiniela,75.5
Mic,177,Total,13.5
MiChingon,8,Extra,93
MiChingon,50,Mundial ideal,16.5
MiChingon,42,Quiniela,75.5
MiChingon,100,Total,157
Mifume,16,Extra,155.5
Mifume,103,Mundial ideal,129.5
Mifume,39,Quiniela,51
Mifume,158,Total,45.5
Milagrosa9,4,Extra,44
Milagrosa9,86,Mundial ideal,66.5
Milagrosa9,41,Quiniela,65
Milagrosa9,131,Total,114
Milinkovic%20Savic,8,Extra,93
Milinkovic%20Savic,98,Mundial ideal,112.5
Milinkovic%20Savic,44,Quiniela,99
Milinkovic%20Savic,150,Total,62.5
milo%20cuccitini,4,Extra,44
milo%20cuccitini,4,Mundial ideal,7
milo%20cuccitini,40,Quiniela,58.5
milo%20cuccitini,48,Total,166
Minteligentes,4,Extra,44
Minteligentes,88,Mundial ideal,73
Minteligentes,39,Quiniela,51
Minteligentes,131,Total,114
mlliure,0,Extra,10
mlliure,87,Mundial ideal,69.5
mlliure,37,Quiniela,40
mlliure,124,Total,130
Modonesi71,16,Extra,155.5
Modonesi71,97,Mundial ideal,108
Modonesi71,42,Quiniela,75.5
Modonesi71,155,Total,51.5
Monky,8,Extra,93
Monky,84,Mundial ideal,61
Monky,24,Quiniela,6
Monky,116,Total,146
Mumu,12,Extra,133
Mumu,83,Mundial ideal,58.5
Mumu,56,Quiniela,160
Mumu,151,Total,59
Nacho%20Aldunate,8,Extra,93
Nacho%20Aldunate,106,Mundial ideal,136.5
Nacho%20Aldunate,45,Quiniela,106.5
Nacho%20Aldunate,159,Total,42
nakuako,0,Extra,10
nakuako,78,Mundial ideal,39
nakuako,49,Quiniela,134.5
nakuako,127,Total,124
NoSoyHaaland,8,Extra,93
NoSoyHaaland,116,Mundial ideal,159
NoSoyHaaland,44,Quiniela,99
NoSoyHaaland,168,Total,28
Obdulio%20Jacinto,8,Extra,93
Obdulio%20Jacinto,82,Mundial ideal,53.5
Obdulio%20Jacinto,37,Quiniela,40
Obdulio%20Jacinto,127,Total,124
Oliveira,4,Extra,44
Oliveira,96,Mundial ideal,103.5
Oliveira,42,Quiniela,75.5
Oliveira,142,Total,84
pachemor,8,Extra,93
pachemor,88,Mundial ideal,73
pachemor,44,Quiniela,99
pachemor,140,Total,92.5
Pacomore64,0,Extra,10
Pacomore64,105,Mundial ideal,133.5
Pacomore64,47,Quiniela,122
Pacomore64,152,Total,56.5
Paiolo,8,Extra,93
Paiolo,113,Mundial ideal,152.5
Paiolo,52,Quiniela,147.5
Paiolo,173,Total,21.5
Paobarriguete,16,Extra,155.5
Paobarriguete,123,Mundial ideal,166.5
Paobarriguete,49,Quiniela,134.5
Paobarriguete,188,Total,5
Papanatti,8,Extra,93
Papanatti,113,Mundial ideal,152.5
Papanatti,51,Quiniela,145
Papanatti,172,Total,23
Pascoe,4,Extra,44
Pascoe,98,Mundial ideal,112.5
Pascoe,36,Quiniela,34
Pascoe,138,Total,100.5
PauloVilla,8,Extra,93
PauloVilla,128,Mundial ideal,171
PauloVilla,49,Quiniela,134.5
PauloVilla,185,Total,7
PauRui,12,Extra,133
PauRui,99,Mundial ideal,117
PauRui,67,Quiniela,172
PauRui,178,Total,10
PepeGol,16,Extra,155.5
PepeGol,109,Mundial ideal,143.5
PepeGol,50,Quiniela,140.5
PepeGol,175,Total,17.5
Pinks,12,Extra,133
Pinks,102,Mundial ideal,126.5
Pinks,60,Quiniela,168.5
Pinks,174,Total,19.5
Pique%20Terricola,8,Extra,93
Pique%20Terricola,90,Mundial ideal,83
Pique%20Terricola,43,Quiniela,88
Pique%20Terricola,141,Total,88
Pirulete,4,Extra,44
Pirulete,93,Mundial ideal,91
Pirulete,56,Quiniela,160
Pirulete,153,Total,54.5
Pita,8,Extra,93
Pita,90,Mundial ideal,83
Pita,44,Quiniela,99
Pita,142,Total,84
pitimcarthur,16,Extra,155.5
pitimcarthur,115,Mundial ideal,158
pitimcarthur,39,Quiniela,51
pitimcarthur,170,Total,25.5
Pitufo,12,Extra,133
Pitufo,50,Mundial ideal,16.5
Pitufo,44,Quiniela,99
Pitufo,106,Total,156
PlantNinja,4,Extra,44
PlantNinja,87,Mundial ideal,69.5
PlantNinja,35,Quiniela,28
PlantNinja,126,Total,127
pregueiro,4,Extra,44
pregueiro,113,Mundial ideal,152.5
pregueiro,49,Quiniela,134.5
pregueiro,166,Total,34
Qatarina,12,Extra,133
Qatarina,112,Mundial ideal,149.5
Qatarina,43,Quiniela,88
Qatarina,167,Total,31.5
QuiEmi,12,Extra,133
QuiEmi,114,Mundial ideal,156
QuiEmi,41,Quiniela,65
QuiEmi,167,Total,31.5
Rabano74,8,Extra,93
Rabano74,73,Mundial ideal,30.5
Rabano74,46,Quiniela,113.5
Rabano74,127,Total,124
RAC,12,Extra,133
RAC,100,Mundial ideal,121
RAC,48,Quiniela,128.5
RAC,160,Total,39.5
ramos.vip,8,Extra,93
ramos.vip,68,Mundial ideal,25
ramos.vip,46,Quiniela,113.5
ramos.vip,122,Total,135.5
rigelbarros,12,Extra,133
rigelbarros,134,Mundial ideal,172
rigelbarros,53,Quiniela,151
rigelbarros,199,Total,1
rjtrad,16,Extra,155.5
rjtrad,91,Mundial ideal,87
rjtrad,43,Quiniela,88
rjtrad,150,Total,62.5
rodian78,4,Extra,44
rodian78,32,Mundial ideal,13
rodian78,31,Quiniela,12.5
rodian78,67,Total,164
rodrigo_chorizos,0,Extra,10
rodrigo_chorizos,109,Mundial ideal,143.5
rodrigo_chorizos,54,Quiniela,154.5
rodrigo_chorizos,163,Total,36
ropalec,16,Extra,155.5
ropalec,110,Mundial ideal,147
ropalec,45,Quiniela,106.5
ropalec,171,Total,24
rsirvent,0,Extra,10
rsirvent,99,Mundial ideal,117
rsirvent,42,Quiniela,75.5
rsirvent,141,Total,88
San-San13,0,Extra,10
San-San13,66,Mundial ideal,21
San-San13,47,Quiniela,122
San-San13,113,Total,149.5
SANTAMARIA,12,Extra,133
SANTAMARIA,102,Mundial ideal,126.5
SANTAMARIA,46,Quiniela,113.5
SANTAMARIA,160,Total,39.5
sanvera007,0,Extra,10
sanvera007,91,Mundial ideal,87
sanvera007,56,Quiniela,160
sanvera007,147,Total,68
Sebrac,8,Extra,93
Sebrac,108,Mundial ideal,140.5
Sebrac,40,Quiniela,58.5
Sebrac,156,Total,49.5
Sócrates,20,Extra,166.5
Sócrates,118,Mundial ideal,161
Sócrates,54,Quiniela,154.5
Sócrates,192,Total,4
SOYFOM,12,Extra,133
SOYFOM,74,Mundial ideal,32.5
SOYFOM,46,Quiniela,113.5
SOYFOM,132,Total,110.5
Soysof,20,Extra,166.5
Soysof,121,Mundial ideal,165
Soysof,55,Quiniela,156.5
Soysof,196,Total,2
tavocarryon,12,Extra,133
tavocarryon,0,Mundial ideal,3.5
tavocarryon,56,Quiniela,160
tavocarryon,68,Total,162.5
Tesiture,0,Extra,10
Tesiture,67,Mundial ideal,23.5
Tesiture,47,Quiniela,122
Tesiture,114,Total,147.5
TinkuMatari,12,Extra,133
TinkuMatari,106,Mundial ideal,136.5
TinkuMatari,60,Quiniela,168.5
TinkuMatari,178,Total,10
tronquinho10,8,Extra,93
tronquinho10,94,Mundial ideal,94
tronquinho10,34,Quiniela,23
tronquinho10,136,Total,104.5
TURKISH,4,Extra,44
TURKISH,83,Mundial ideal,58.5
TURKISH,35,Quiniela,28
TURKISH,122,Total,135.5
vorkus,8,Extra,93
vorkus,99,Mundial ideal,117
vorkus,33,Quiniela,19
vorkus,140,Total,92.5
Wackinho,8,Extra,93
Wackinho,88,Mundial ideal,73
Wackinho,35,Quiniela,28
Wackinho,131,Total,114
walle,8,Extra,93
walle,72,Mundial ideal,28.5
walle,48,Quiniela,128.5
walle,128,Total,121
Wero,4,Extra,44
Wero,0,Mundial ideal,3.5
Wero,43,Quiniela,88
Wero,47,Total,167
xadeni_,0,Extra,10
xadeni_,112,Mundial ideal,149.5
xadeni_,42,Quiniela,75.5
xadeni_,154,Total,53
Xim,0,Extra,10
Xim,0,Mundial ideal,3.5
Xim,0,Quiniela,1.5
Xim,0,Total,172
yanes82,4,Extra,44
yanes82,75,Mundial ideal,34.5
yanes82,44,Quiniela,99
yanes82,123,Total,132.5
yosefernao06,4,Extra,44
yosefernao06,27,Mundial ideal,10
yosefernao06,22,Quiniela,4.5
yosefernao06,53,Total,165
YOSOYCOCOL,4,Extra,44
YOSOYCOCOL,72,Mundial ideal,28.5
YOSOYCOCOL,33,Quiniela,19
YOSOYCOCOL,109,Total,152.5
